Time load data,44.422
Before  pg_size_pretty 
----------------
 7894 kB
(1 row)
After  pg_size_pretty 
----------------
 4195 MB
(1 row)
2026-08-21 07:57:31.712,q1.sql,[(817102702,)],40.11971873790026,40.30073815099895,181440,[40.925023;40.498924;40.119719;40.055593;39.904433]
2026-08-21 07:57:41.765,q2.sql,[(3340333,)],1.9895419692620635,2.005201452039182,82996,[1.989542;2.088440;2.026689;1.983463;1.937874]
2026-08-21 07:58:22.426,q3.sql,[(3186204,)],8.134112672880292,8.12619272209704,113684,[8.225159;8.134113;8.151454;8.053067;8.067170]
2026-08-21 07:58:52.673,q4.sql,[(50077955,)],6.029999227263033,6.042790088802576,75292,[5.997904;6.054514;6.029999;6.014254;6.117279]
2026-08-21 07:59:12.886,q5.sql,[(41626686,)],4.017721145413816,4.037112757004797,74992,[4.010886;4.052189;4.017721;4.091013;4.013755]
2026-08-21 08:12:01.198,q6.sql,[(6256964594,)],153.65404773224145,153.65717403311282,92040,[153.569937;153.654048;153.383562;153.785969;153.892354]
2026-08-21 08:12:39.776,q7.sql,[(85201127,)],7.722590295597911,7.710644634254277,87368,[7.756759;7.722590;7.660935;7.755864;7.657076]
2026-08-21 08:13:20.791,q8.sql,[(20801937,)],8.192325831390917,8.19808065071702,96984,[8.184171;8.123917;8.253266;8.192326;8.236723]
2026-08-21 08:42:10.299,q9.sql,[(6024450864,)],345.7860534572974,345.8961271485314,105804,[346.043662;345.786053;346.252573;345.661796;345.736551]
failure_rate,0.000%
