Time load data,6.813
Before  pg_size_pretty 
----------------
 7894 kB
(1 row)
After  pg_size_pretty 
----------------
 695 MB
(1 row)
2026-08-21 02:58:25.451,q1.sql,[(221636419,)],11.489353895187378,11.642994058132171,95636,[12.141116;11.415127;11.489354;11.350456;11.818918]
2026-08-21 02:58:28.972,q2.sql,[(1085627,)],0.6857285872101784,0.6973228216171264,85580,[0.685729;0.655598;0.690537;0.658355;0.796396]
2026-08-21 02:58:39.685,q3.sql,[(753570,)],2.13936485350132,2.1360371991991998,56272,[2.135949;2.152935;2.139365;2.109452;2.142484]
2026-08-21 03:00:45.430,q4.sql,[(14836038,)],25.19736559689045,25.1427999779582,612132,[25.344607;25.579412;25.197366;24.980768;24.611848]
2026-08-21 03:01:03.512,q5.sql,[(13824510,)],3.3888762667775154,3.448000818490982,156836,[3.376340;3.384293;3.695515;3.388876;3.394979]
2026-08-21 03:05:43.464,q6.sql,[(1668134320,)],55.967809066176414,55.98491108417511,67656,[56.563046;56.739327;55.967809;55.889033;54.765340]
2026-08-21 03:06:08.596,q7.sql,[(26190133,)],5.048997364938259,5.020818501710892,165276,[5.100080;4.957294;5.138475;4.859246;5.048997]
2026-08-21 03:06:29.213,q8.sql,[(6907213,)],4.10942866653204,4.117811806499958,172728,[4.163041;4.129721;4.109429;4.087436;4.099432]
2026-08-21 03:17:21.421,q9.sql,[(1596153418,)],130.9302415624261,130.43615919798611,77520,[130.983392;128.492512;130.541086;130.930242;131.233565]
failure_rate,0.000%
